" MADISON",1213  FLORENCE AVE,36850
" MADISON",1386  FLORENCE AVE,64900
" MADISON",1420  FLORENCE AVE,30000
" MADISON",200  AURORA AVE,100000
" MADISON",221  EDGEMEADE DR,60000
" MADISON",210  EDGEMEADE DR,88000
" MADISON",518  MACFIE CT,72000
" MADISON",510 MACFIE  CT,95000
" MADISON",307  DINWIDDIE DR,85000
" MADISON",309  DINWIDDIE DR,75000
" MADISON",1417  BAIN DR,86000
" MADISON",1410 BAIN  DR,80000
" MADISON",604  BETTY LOU DR,70000
" MADISON",1505  STONEY RIVER LN,70000
" OLD HICKORY",100  WARREN DR,89600
" OLD HICKORY",213 WARREN  CT,39750
" OLD HICKORY",212 WARREN  CT,39750
" OLD HICKORY",204 WARREN  CT,39750
" WHITES CREEK",725  HARDYS CT,38000
" NASHVILLE",1330  OLD HICKORY BLVD,80000
" WHITES CREEK",0  CREEK TRAIL DR,49500
" NASHVILLE",1437  GOOD NIGHT CT,35000
" NASHVILLE",1429  GOOD NIGHT CT,78000
" NASHVILLE",1425  GOOD NIGHT CT,78000
" NASHVILLE",1413  GOOD NIGHT CT,16000
" NASHVILLE",1405  GOOD NIGHT CT,78000
" NASHVILLE",1401  GOOD NIGHT CT,78000
" NASHVILLE",1285  GOODMORNING DR,78000
" NASHVILLE",1281  GOODMORNING DR,35000
" NASHVILLE",1300  GOODMORNING DR,78000
" NASHVILLE",1224  DALEMERE DR,78100
" WHITES CREEK",4172  CREEK TRAIL DR,31500
" WHITES CREEK",4180  CREEK TRAIL DR,30000
" NASHVILLE",1416  FINNLAND DR,19500
" NASHVILLE",1505  CONSTITUTION AVE,30000
" NASHVILLE",1509  CONSTITUTION AVE,30000
" NASHVILLE",1521  CONSTITUTION AVE,30000
" NASHVILLE",1529  CONSTITUTION AVE,30000
" NASHVILLE",3985  LAWING DR,39000
" NASHVILLE",3983  LAWING DR,95000
" NASHVILLE",1219  BELL GRIMES LN,80125
" NASHVILLE",1227 OLD HICKORY  BLVD,94000
" NASHVILLE",4005  DUMBARTON DR,90000
" NASHVILLE",4021  DUMBARTON DR,100
" NASHVILLE",1125  WESTCHESTER DR,70000
" MADISON",1023  WESTCHESTER DR,94000
" NASHVILLE",1557  BRICK DR,25000
" NASHVILLE",1568  BRICK DR,22500
" NASHVILLE",1724  BRICK CT,25000
" NASHVILLE",1321 BELLSHIRE TERRACE  DR,90000
" NASHVILLE",832  FONNIC DR,18000
" NASHVILLE",1014  NESBITT DR,11100
" MADISON",707  E CAMPBELL RD,36000
" MADISON",1037  HIGHLAND CIR,75000
" MADISON",1012  HIGHLAND CIR,45000
" MADISON",1012  HIGHLAND CIR,49000
" MADISON",1038  HIGHLAND CIR,90200
" MADISON",0 HIGHLAND  CIR,13000
" MADISON",532  AMQUIWOOD CT,89900
" MADISON",226  OLD AMQUI RD,94500
" MADISON",1024  HIGHLAND CIR,80000
" NASHVILLE",1000  11TH AVE N,85028
" NASHVILLE",1008  11TH AVE N,55000
" NASHVILLE",1010  11TH AVE N,50000
" NASHVILLE",1016  11TH AVE N,65000
" NASHVILLE",1028  11TH AVE N,72500
" NASHVILLE",1019  10TH AVE N,93000
" NASHVILLE",938  11TH AVE N,100000
" NASHVILLE",1029  12TH AVE N,48000
" NASHVILLE",1200  MEHARRY BLVD,48000
" NASHVILLE",1008 JOSEPH AVE,46000
" NASHVILLE",1102  JOSEPH AVE,26500
" NASHVILLE",1102  JOSEPH AVE,27000
" NASHVILLE",1111  JOSEPH AVE,60000
" NASHVILLE",913  JOSEPH AVE,76700
" NASHVILLE",846  N 2ND ST,25000
" NASHVILLE",920  N 2ND ST,38000
" NASHVILLE",1102  N 2ND ST,90000
" NASHVILLE",1115  N 2ND ST,30012
" NASHVILLE",1103  N 2ND ST,30000
" NASHVILLE",202  CLEVELAND ST,60000
" NASHVILLE",914  STOCKELL ST,82000
" NASHVILLE",1118  STOCKELL ST,69000
" NASHVILLE",1111  STOCKELL ST,82000
" NASHVILLE",1101 STOCKELL  ST,100000
" NASHVILLE",1013  STOCKELL ST,57000
" NASHVILLE",1009  STOCKELL ST,50000
" NASHVILLE",1003  STOCKELL ST,80000
" NASHVILLE",1120  PENNOCK AVE,80500
" NASHVILLE",1000  PENNOCK AVE,50000
" NASHVILLE",1013  PENNOCK AVE,84900
" NASHVILLE",310  EVANSTON AVE,30200
" NASHVILLE",1022  LISCHEY AVE,98500
" NASHVILLE",1006  LISCHEY AVE,42000
" NASHVILLE",328  VAUGHN ST,96000
" NASHVILLE",838  LISCHEY AVE,79900
" NASHVILLE",927  N 5TH ST,14000
" NASHVILLE",923  N 5TH ST,80000
" NASHVILLE",915  N 5TH ST,45000
" NASHVILLE",1114  N 7TH ST,90000
" NASHVILLE",1121  N 7TH ST,30000
" NASHVILLE",1117  N 7TH ST,70000
" NASHVILLE",926 A  N 6TH ST,100000
